n_estimators,max_depth,learning_rate,val_MAE,val_RMSE,fit_time_s
100,3,0.05,97.42549896240234,149.68299865722656,0.28162239999801386
100,3,0.1,96.12895202636719,146.7249298095703,0.2826459000061732
100,5,0.05,101.35083770751953,154.27838134765625,0.5673028000019258
100,5,0.1,105.00480651855469,158.50729370117188,0.7808618999988539
100,7,0.05,108.56302642822266,167.6346893310547,1.7706938999908743
100,7,0.1,112.1948471069336,176.10829162597656,1.1772957999928622
300,3,0.05,95.23954772949219,144.58358764648438,0.819019099988509
300,3,0.1,97.73661804199219,147.85240173339844,0.9169996999989962
300,5,0.05,105.31726837158203,160.0406036376953,1.3648985000036191
300,5,0.1,111.78330993652344,167.57994079589844,1.5336302999930922
300,7,0.05,111.84770202636719,171.8571014404297,2.9901940999989165
300,7,0.1,119.28665924072266,186.50198364257812,2.9957648999989033
