n_estimators,max_depth,learning_rate,val_MAE,val_RMSE,fit_time_s
100,3,0.05,78.17183685302734,113.47447204589844,0.3436993000068469
100,3,0.1,75.0201644897461,109.82989501953125,0.31968800000322517
100,5,0.05,76.3625259399414,112.95195770263672,0.6766373999998905
100,5,0.1,76.24794006347656,112.69609069824219,0.6794904999987921
100,7,0.05,75.81166076660156,114.04942321777344,1.0667478999966988
100,7,0.1,76.70055389404297,114.94654083251953,1.1087267999973847
300,3,0.05,74.05655670166016,108.54638671875,0.9181610000086948
300,3,0.1,74.7913589477539,109.81112670898438,1.011499600004754
300,5,0.05,75.98211669921875,113.29267883300781,1.5652121999883093
300,5,0.1,79.33922576904297,117.24528503417969,1.9255181000044104
300,7,0.05,77.41676330566406,116.45973205566406,3.5522557999938726
300,7,0.1,79.80374908447266,118.4636459350586,3.0087506999989273
